Date,Red,Green,Blue,Chlorophyll,Plant Health
10.11.2024,148,182,105,36.6,3.0
10.11.2024,90,112,77,40.0,1.0
10.11.2024,139,138,107,38.3,2.0
10.11.2024,113,123,81,39.1,2.0
10.11.2024,139,139,108,36.5,2.0
10.11.2024,90,85,60,40.2,2.0
10.11.2024,154,125,106,34.4,1.0
10.11.2024,144,131,108,37.1,1.0
10.11.2024,152,147,105,40.5,2.0
10.11.2024,156,164,109,43.0,2.0
10.11.2024,201,182,162,46.1,1.0
10.11.2024,106,102,89,34.6,3.0
10.11.2024,195,170,141,37.1,2.0
10.11.2024,140,125,97,40.5,1.0
10.11.2024,109,125,72,43.0,3.0
10.11.2024,112,129,88,46.1,2.0
10.11.2024,97,113,76,34.6,1.0
10.11.2024,118,128,95,36.2,2.0
10.11.2024,156,139,117,40.3,3.0
10.11.2024,159,147,114,32.5,2.0
10.11.2024,145,141,111,41.1,2.0
10.11.2024,169,170,132,36.6,2.0
10.11.2024,110,114,82,40.1,1.0
10.11.2024,147,156,107,33.4,1.0
10.11.2024,154,161,124,35.4,1.0
10.11.2024,161,170,124,44.2,1.0
10.11.2024,155,153,121,41.0,1.0
10.11.2024,86,79,64,42.5,2.0
10.11.2024,148,132,113,37.5,2.0
10.11.2024,146,151,104,37.9,2.0
10.11.2024,106,108,75,43.1,3.0
10.11.2024,125,119,96,37.1,3.0
10.11.2024,136,117,103,38.7,1.0
10.11.2024,98,87,77,37.2,2.0
10.11.2024,82,85,57,40.3,3.0
10.11.2024,110,99,72,38.0,1.0
10.11.2024,72,70,62,40.9,2.0
10.11.2024,122,163,93,47.6,2.0
10.11.2024,118,100,79,43.7,2.0
10.11.2024,162,145,139,36.6,1.0
10.11.2024,114,116,86,35.6,1.0
10.11.2024,107,115,65,38.0,1.0
10.11.2024,142,141,100,37.8,2.0
10.11.2024,136,135,97,35.7,1.0
